	Stop number	Name without locality	Locality	Locality number	Code	Stop No	NaPTAN stop class	NaPTANId	Easting	Northing	lat	lon
13195	14558	Ballycoolin Road	Blanchardstown	E0824024	->W	7237	BCT	8240DB007237	710293	739836	53.39714127	-6.341581009
13196	14559	Ballycoolin Road	Cloghran	E0824043	->E	7238	BCT	8240DB007238	710082	739898	53.39774224	-6.344730636
13197	14560	The Courtyard	Clonsilla	E0824026	->S	7218	BCT	8240DB007218	706249	738018	53.38163842	-6.40297367
13198	14560	The Courtyard	Clonsilla	E0824026	->N	7217	BCT	8240DB007217	706233	738031	53.38175842	-6.403209693
13199	14561	Stadium Business Park	Cloghran	E0824043	->E	7224	BCT	8240DB007224	710500	739916	53.39781666	-6.338441892
13200	14562	Entrance to IKEA	Ballymun	E0822047	->E	7275	BCT	8240DB007275	715108	740909	53.40575249	-6.268824526
13201	14562	Entrance to IKEA	Ballymun	E0822047	->NW	7274	BCT	8240DB007274	715080	740926	53.4059113	-6.269239223
13202	14563	IKEA Retail Outlet	Ballymun	E0822047	->E1	7277	BCT	8240DB007277	714337	740918	53.40600083	-6.28041103
13203	14563	IKEA Retail Outlet	Ballymun	E0822047	->E2	7276	BCT	8240DB007276	714308	740929	53.40610592	-6.28084298
13204	14564	Rosemount Business Park	Cloghran	E0824043	->NW	7247	BCT	8240DB007247	709611	740004	53.3987924	-6.351772895
13205	14565	Outside Train Station	Clonsilla	E0824026	->W	7240	BCT	8240DB007240	704768	738224	53.38378466	-6.425156962
13206	14566	Ballycoolin Road (Rosemount Business Park)	Cloghran	E0824043	->W	724	BCT	8240DB007241	709940	739895	53.39774486	-6.346865916
13207	14566	Ballycoolin Road (Rosemount Business Park)	Cloghran	E0824043	->SE	724	BCT	8240DB007242	709729	739964	53.39840857	-6.350013232
13208	14567	Ballycoolin Road (Snugborough Road)	Blanchardstown	E0824024	->NW1	250	BCT	8240DB002509	709055	740621	53.40445009	-6.359916557
13209	14567	Ballycoolin Road (Snugborough Road)	Blanchardstown	E0824024	->NW2	7243	BCT	8240DB007243	709201	740500	53.40333296	-6.357763712
13210	14568	house number 179	Poppintree	E0822012	->E	7213	BCT	8240DB007213	714040	740933	53.40619979	-6.284870188
13211	14569	Ardgillan Demesne	Balbriggan	E0824005	->NW	7175	BCT	8240DB007175	722185	761548	53.5895431	-6.154412733
13212	14570	Swords Business Park	Swords	E0824015	->E	718	BCT	8240DB007189	718858	747136	53.46085526	-6.210106534
13213	14570	Swords Business Park	Swords	E0824015	->W	5044	BCT	8240DB005044	718879	747129	53.46078765	-6.209793108
13214	14571	Holywell Square	Drinan (Fingal)	E0824039	->W	7194	BCT	8240DB007194	719066	745624	53.44722698	-6.207548068
13215	14571	Holywell Square	Drinan (Fingal)	E0824039	->E	7195	BCT	8240DB007195	719045	745634	53.44732155	-6.207860256
13216	14572	Church	Balbriggan	E0824005	->S	7174	BCT	8240DB007174	720156	763100	53.6039519	-6.184445693
13217	14573	Harneys Lane	Portrane	E0824032	->W	7170	BCT	8240DB007170	724513	750902	53.49337549	-6.12350404
13218	14573	Harneys Lane	Portrane	E0824032	->E	3725	BCT	8240DB003725	724538	750913	53.49346837	-6.123123131
13219	14574	Station Road (Dublin Road)	Lusk	E0824008	->SE	3764	BCT	8240DB003764	721707	754386	53.52532525	-6.164416222
13220	14574	Station Road (Dublin Road)	Lusk	E0824008	->NW	717	BCT	8240DB007171	721676	754387	53.5253414	-6.164883112
13221	14574	Station Road (Dublin Road)	Lusk	E0824008	NW2	3854	BCT	8240DB003854	721679	754388	53.52534969	-6.164837503
13222	14576	Old Market Green	Balbriggan	E0824005	->E	7173	BCT	8240DB007173	720474	763358	53.60619628	-6.179543702
13223	14577	Selskar Court	Skerries	E0824013	->NW1	357	BCT	8240DB003571	724139	760330	53.57814456	-6.125399346
13224	14577	Selskar Court	Skerries	E0824013	->SE	3566	BCT	8240DB003566	724161	760322	53.5780675	-6.125070504
13225	14577	Selskar Court	Skerries	E0824013	->NW2	7205	BCT	8240DB007205	724139	760333	53.57817151	-6.125398154
13226	14578	Main Street Rush	Donabate	E0824002	->S	7206	BCT	8240DB007206	719312	749400	53.48108864	-6.202414049
13227	14579	Airside Ind. Estate	Airside	E0824052	->E1	720	BCT	8240DB007209	717958	745458	53.44598493	-6.224281571
13228	14579	Airside Ind. Estate	Airside	E0824052	->E2	7210	BCT	8240DB007210	717958	745458	53.44598493	-6.224281571
13229	14580	Seaview Estate	Portrane	E0824032	->W	7204	BCT	8240DB007204	725633	750875	53.49286687	-6.106645753
13230	14581	Holywell Ward	Drinan (Fingal)	E0824039	->E	7197	BCT	8240DB007197	718757	745370	53.44501514	-6.212293169
13231	14581	Holywell Ward	Drinan (Fingal)	E0824039	->W	7196	BCT	8240DB007196	718742	745363	53.44495564	-6.212521491
13232	14582	Dublin Road (Mill Hill)	Skerries	E0824013	->SW	720	BCT	8240DB007202	724889	760039	53.57535294	-6.114196804
13233	14582	Dublin Road (Mill Hill)	Skerries	E0824013	->NE	7203	BCT	8240DB007203	724870	760017	53.57515986	-6.114492325
13234	14583	Navan Road N3	Blanchardstown	E0824024	->NW	738	BCT	8240DB007389	708391	738554	53.38601849	-6.370607584
13235	14586	Port Tunnel Fake	Santry	E0824019	->NE	740	BCT	8240DB007409	717538	740786	53.40411237	-6.232343049
13236	14586	Port Tunnel Fake	Santry	E0824019	->SW	7407	BCT	8240DB007407	717569	740774	53.40399767	-6.231881553
13237	14587	Blackwood Estate	Castaheaney	E0824046	->N	7388	BCT	8240DB007388	703594	739776	53.39795854	-6.442287956
13238	14588	Damastown Green	Mulhuddart	E0824017	->W	738	BCT	8240DB007381	705313	741193	53.4103481	-6.415977753
13239	14589	Damastown Way	Mulhuddart	E0824017	->W	738	BCT	8240DB007382	705796	741035	53.40883216	-6.408768957
13240	14590	Riversdale Community College	Corduff (Fingal)	E0824018	->SW1	2288	BCT	8240DB002288	707831	740211	53.40101831	-6.378456297
13241	14590	Riversdale Community College	Corduff (Fingal)	E0824018	->SW2	7383	BCT	8240DB007383	707692	740152	53.40051666	-6.380565767
13242	14591	Blanchardstown Road N	Corduff (Fingal)	E0824018	->SW	7384	BCT	8240DB007384	707400	740041	53.39957897	-6.38499261
13247	14594	Balbriggan Road (Mourne View)	Skerries	E0824013	->SE	742	BCT	8240DB007429	724304	760914	53.58335085	-6.122676713
13248	14595	Port Tunnel Fake	Kinsealy	E0824023	->S	7408	BCT	8240DB007408	717980	741692	53.41215197	-6.225360517
13249	14595	Port Tunnel Fake	Kinsealy	E0824023	->N	7410	BCT	8240DB007410	717951	741696	53.41219438	-6.225795006
13250	14596	Port Tunnel Fake	Kinsealy	E0824023	->N	74	BCT	8240DB007411	718235	742675	53.42092471	-6.221158322
13251	14597	Laurel Lodge Road	Castleknock	E0824001	->SW	7380	BCT	8240DB007380	708306	737749	53.37880441	-6.372160689
13252	14597	Laurel Lodge Road	Castleknock	E0824001	->NE1	1686	BCT	8240DB001686	708280	737749	53.37880974	-6.372551297
13253	14597	Laurel Lodge Road	Castleknock	E0824001	->NE2	1685	BCT	8240DB001685	708090	737662	53.37806708	-6.375435489
13254	14597	Laurel Lodge Road	Castleknock	E0824001	->NE3	1676	BCT	8240DB001676	708105	737654	53.37799215	-6.375212878
13255	14598	Kettles Lane	Feltrim	E0824053	->SE	732	BCT	8240DB007329	720051	744905	53.44054536	-6.193001824
13256	14599	Abbottstown Laboratories	Blanchardstown	E0824024	->SW	7334	BCT	8240DB007334	708842	740274	53.40137688	-6.363238105
13257	14600	Ballycoolin Business Park	Cloghran	E0824043	->SE	734	BCT	8240DB007342	708976	741545	53.41276683	-6.360784958
13258	14600	Ballycoolin Business Park	Cloghran	E0824043	->NW	7343	BCT	8240DB007343	708947	741553	53.41284468	-6.361218217
13259	14601	Feltrim Lane	Feltrim	E0824053	->NW	7328	BCT	8240DB007328	720039	744907	53.44056606	-6.193181586
13260	14603	Cruiserath Road	Cloghran	E0824043	->NE	43	BCT	8240DB004321	708372	741401	53.41159759	-6.369915743
13261	14603	Cruiserath Road	Cloghran	E0824043	->S	731	BCT	8240DB007319	708456	741184	53.40963099	-6.368727417
13262	14603	Cruiserath Road	Cloghran	E0824043	->SW	7318	BCT	8240DB007318	708474	741216	53.40991475	-6.368445799
13263	14604	Blackwoods Estate	Portmarnock	E0824011	->W	7327	BCT	8240DB007327	722890	744250	53.43400824	-6.150549122
13264	14605	Great Southern Hotel	Dublin Airport	E0824041	->SE	734	BCT	8240DB007349	717322	743137	53.42527839	-6.234715254
13265	14606	Total Fitness	Blanchardstown	E0824024	->SE	7374	BCT	8240DB007374	708753	738336	53.38398578	-6.365243265
13266	14607	Blanchardstown Road S	Blanchardstown	E0824024	->S	737	BCT	8240DB007379	706393	738924	53.38974838	-6.400505036
13267	14609	Upper Deck Restaurant	Cloghran	E0824043	->S	7345	BCT	8240DB007345	708456	741181	53.40960404	-6.368728448
13268	14609	Upper Deck Restaurant	Cloghran	E0824043	->NE	7346	BCT	8240DB007346	708472	741220	53.40995109	-6.368474492
13269	14610	Hacketstown Cottages	Skerries	E0824013	->S	3825	BCT	8240DB003825	725641	758611	53.56234765	-6.103422675
